131 5562.315089 3.058E-75 2.646E+01.05300.30026510.53200.660.000000       X1/2  12       X1/2   9                RR  3.5ee     232210 6 5 2 1 1 0    20.0   16.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=12;J=4.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=9;J=3.5;parity=-;kronigParity=e
131 5563.711348 3.899E-75 2.723E+01.06500.30026420.44450.660.000000       X1/2  12       X1/2   9                RR  2.5ff     232210 6 5 2 1 1 0    16.0   12.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=12;J=3.5;parity=+;kronigParity=f,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=9;J=2.5;parity=-;kronigParity=f
131 5563.930431 3.901E-75 2.723E+01.06500.30026420.29890.660.000000       X1/2  12       X1/2   9                RR  2.5ee     232210 6 5 2 1 1 0    16.0   12.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=12;J=3.5;parity=-;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=9;J=2.5;parity=+;kronigParity=e
131 5564.180526 2.591E-57 2.038E-02.04000.30016897.48270.660.000000       X1/2   3       X1/2   1                QQ 27.5ef     232210 6 5 2 1 1 0   112.0  112.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=3;J=27.5;parity=-;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=1;J=27.5;parity=+;kronigParity=f
131 5564.509686 1.194E-52 2.221E-01.04000.30015088.72530.660.000000       X3/2   5       X3/2   3                QQ 17.5ef     232210 6 5 2 1 1 0    72.0   72.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=5;J=17.5;parity=-;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=3;J=17.5;parity=+;kronigParity=f
131 5564.983444 1.082E-50 1.526E+00.04000.30014415.54410.660.000000       X3/2   6       X3/2   4                QQ  8.5ef     232210 6 5 2 1 1 0    36.0   36.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=6;J=8.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=4;J=8.5;parity=-;kronigParity=f
131 5565.006237 6.265E-75 1.866E+01.09500.30026185.79060.660.000000       X3/2  12       X3/2   9                RR  1.5ee     232210 6 5 2 1 1 0    12.0    8.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=12;J=2.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=9;J=1.5;parity=-;kronigParity=e
131 5565.021370 6.264E-75 1.865E+01.09500.30026185.81120.660.000000       X3/2  12       X3/2   9                RR  1.5ff     232210 6 5 2 1 1 0    12.0    8.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=12;J=2.5;parity=-;kronigParity=f,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=9;J=1.5;parity=+;kronigParity=f
131 5565.742516 3.670E-67 7.043E-04.04000.30020829.98760.660.000000       X1/2   6       X3/2   4                RQ 22.5ef     232210 6 5 2 1 1 0    92.0   92.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=6;J=22.5;parity=+;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=4;J=22.5;parity=-;kronigParity=f
131 5566.324891 6.872E-75 2.127E+00.04000.30026252.86310.660.000000       X3/2   3       X3/2   1                RR 38.5ee     232210 6 5 2 1 1 0   160.0  156.0,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=3;J=39.5;parity=-;kronigParity=e,ElecStateLabel=X;Lambda=1;Omega=1.5;S=0.5;v=1;J=38.5;parity=+;kronigParity=e
131 5566.334197 6.073E-75 2.119E+00.04000.30026272.28540.660.000000       X1/2   3       X1/2   1                RR 37.5ff     232210 6 5 2 1 1 0   156.0  152.0,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=3;J=38.5;parity=-;kronigParity=f,ElecStateLabel=X;Lambda=1;Omega=0.5;S=0.5;v=1;J=37.5;parity=+;kronigParity=f
